"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value","lambda"
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5361895588656139,0.8
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.8295995758404083,0.9
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.1440880309429309,0.9
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5649407325654133,0.9
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.8315245173882986,0.9
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.8326602102155591,0.9
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.633144858269876,0.9
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.8501275407819692,1.
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.11867580207396684,1.
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.568955891341855,1.
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.8497395098939383,1.
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.8504976487441824,1.
"Polarized",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.8221704790819817,1.
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4732660035507111,0.
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.3640865608349188,0.
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.48676211765314,0.
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.5007743984222244,0.
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.490113281965152,0.
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.49853679551134544,0.
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4921894320884267,0.1
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.35753046361683605,0.1
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.49961276441618363,0.1
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.516750589021673,0.1
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.5102338340004159,0.1
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5001299204745463,0.1
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.5388067234493349,0.2
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.33749003634241465,0.2
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5381080244308971,0.2
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.5516648877156788,0.2
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.5579910213665293,0.2
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5029937386924956,0.2
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.6126036524562544,0.30000000000000004
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.3064834168425386,0.30000000000000004
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5751151770158527,0.30000000000000004
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.5975269731315973,0.30000000000000004
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.6251683307830909,0.30000000000000004
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.49642880277726004,0.30000000000000004
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.6872221908084439,0.4
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.26721530314351133,0.4
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5879850461677715,0.4
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.6608145654231687,0.4
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.6898156549989533,0.4
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.48990877369953695,0.4
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.7349962883292731,0.5
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.2372859692310605,0.5
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.5921805737019815,0.5
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.7162952064300221,0.5
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.7353694679965909,0.5
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.507122105246815,0.5
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.7774452564691476,0.6000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.2061255855244203,0.6000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.6128962581963876,0.6000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.7579099848456312,0.6000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.7717790441783755,0.6000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.513341768524042,0.6000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.8050421144816289,0.7000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.18241889810565926,0.7000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.6377194774545409,0.7000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.7964671841681454,0.7000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.8008018947658206,0.7000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5471098699187469,0.7000000000000001
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.8205613352755702,0.8
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.15985819683947017,0.8
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.6117967710425303,0.8
"Polarized",7,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.8190649064133909,0.8
